ResponseId,Age,Country,EdLevel,PlatformHaveWorkedWith,PlatformWantToWorkWith
16755,25-34y,Malaysia,Bachelor’s degree,Cloudflare,OpenStack
9724,25-34y,Singapore,Bachelor’s degree,Vercel,Google Cloud
24917,25-34y,Brazil,Master’s degree,Amazon Web Services (AWS),PythonAnywhere
40350,25-34y,Spain,Master’s degree,Heroku,Databricks
25248,35-44y,Ethiopia,Master’s degree,VMware,Google Cloud
12193,18-24y,Pakistan,Bachelor’s degree,Netlify,Netlify
20377,25-34y,Ukraine,Study wo degree,IBM Cloud Or Watson,Amazon Web Services (AWS)
61550,35-44y,Lithuania,Bachelor’s degree,IBM Cloud Or Watson,VMware
43170,18-24y,Kenya,Something else,Google Cloud,Alibaba Cloud
58167,25-34y,India,Bachelor’s degree,OpenShift,Microsoft Azure
18211,45-54y,Germany,Master’s degree,Microsoft Azure,Databricks
14746,18-24y,India,Bachelor’s degree,Netlify,Cloudflare
15180,45-54y,UK,Bachelor’s degree,Microsoft Azure,Microsoft Azure
2743,25-34y,India,Bachelor’s degree,Amazon Web Services (AWS),Firebase
17905,18-24y,Algeria,Master’s degree,Render,Netlify
42558,35-44y,USA,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
2901,18-24y,Philippines,Secondary School,Amazon Web Services (AWS),Cloudflare
49771,Prefer not to say,Netherlands,Professional degree,Microsoft Azure,Vultr
30449,25-34y,USA,Bachelor’s degree,Cloudflare,Cloudflare
22707,25-34y,India,Bachelor’s degree,Microsoft Azure,"Linode, now Akamai"
49418,35-44y,Canada,Associate degree,Netlify,Cloudflare
19134,Under 18y,Hong Kong,Secondary School,Heroku,Vercel
21331,25-34y,UAE,Bachelor’s degree,Amazon Web Services (AWS),None
33748,25-34y,Sri Lanka,Bachelor’s degree,Digital Ocean,Netlify
59048,18-24y,Unknown,Unknown,Amazon Web Services (AWS),Amazon Web Services (AWS)
55456,35-44y,USA,Master’s degree,Amazon Web Services (AWS),Google Cloud
13573,18-24y,USA,Bachelor’s degree,Microsoft Azure,Supabase
39080,25-34y,India,Bachelor’s degree,Digital Ocean,Amazon Web Services (AWS)
27728,25-34y,Tanzania,Bachelor’s degree,Google Cloud,Amazon Web Services (AWS)
62956,18-24y,Unknown,Unknown,None,None
50567,25-34y,Brazil,Associate degree,Firebase,Google Cloud
5423,25-34y,Brazil,Master’s degree,Supabase,Vercel
29870,18-24y,Italy,Bachelor’s degree,Digital Ocean,Oracle Cloud Infrastructure (OCI)
29714,35-44y,Italy,Study wo degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
46548,25-34y,USA,Bachelor’s degree,Amazon Web Services (AWS),Vercel
55637,45-54y,USA,Master’s degree,Supabase,Supabase
48515,25-34y,Canada,Bachelor’s degree,Firebase,Cloudflare
56773,25-34y,Poland,Study wo degree,Firebase,Google Cloud
15351,18-24y,Montenegro,Secondary School,Netlify,Digital Ocean
3607,18-24y,Italy,Study wo degree,Google Cloud,Oracle Cloud Infrastructure (OCI)
16879,25-34y,UAE,Bachelor’s degree,Heroku,Amazon Web Services (AWS)
14249,25-34y,India,Bachelor’s degree,Amazon Web Services (AWS),Amazon Web Services (AWS)
14669,35-44y,Egypt,Master’s degree,OpenShift,Scaleway
18837,45-54y,Poland,Study wo degree,Microsoft Azure,OVH
50196,35-44y,Sweden,Bachelor’s degree,Microsoft Azure,Microsoft Azure
7516,25-34y,India,Study wo degree,Digital Ocean,Amazon Web Services (AWS)
23166,45-54y,Netherlands,Bachelor’s degree,Amazon Web Services (AWS),Microsoft Azure
26678,65y+,North Korea,Professional degree,"Linode, now Akamai",Vercel
62447,35-44y,Unknown,Unknown,None,None
48039,25-34y,UK,Study wo degree,OpenShift,Vercel
13358,35-44y,USA,Bachelor’s degree,Microsoft Azure,"Linode, now Akamai"
20143,25-34y,India,Bachelor’s degree,IBM Cloud Or Watson,Vultr
42681,35-44y,USA,Secondary School,Google Cloud,Amazon Web Services (AWS)
19105,Under 18y,USA,Study wo degree,Heroku,Netlify
23191,18-24y,India,Bachelor’s degree,Heroku,Netlify
